1340996384956|1356998400000|false|962072674467|0.0.0.5|2|yes|3
1348333059979|1356998400000|false|1099511627940|0.0.0.115|1|thanks|6
1342705661728|1356998400000|false|1030792151560|0.0.0.127|2|LOL|3
1342711275100|1356998400000|false|1030792151561|0.0.0.127|2|I see|5
1352956475531|1356998400000|false|1168231105034|0.0.0.61|3|fine|4
1341227443970|1356998400000|false|962072674827|0.0.0.125|1|right|5
1341219665378|1356998400000|false|962072674828|0.0.0.124|1|About Wolfgang Amadeus Mozart, among the mosAbout Janis Joplin, ust Me, Merce|77
1355661186664|1356998400000|false|1168231105037|0.0.0.136|2|good|4
1341252963788|1356998400000|false|962072674830|0.0.0.215|1|no|2
1342664783011|1356998400000|false|1030792151567|0.0.0.252|1|About Isabella I of Castile, Ferdinand are knAbout Janis Joplin, erforming abil|79
1345712275861|1356998400000|false|1030792151568|0.0.0.5|2|cool|4
1352968845161|1356998400000|false|1168231105041|0.0.0.61|3|About Louis Armstrong,  the end of his career About Al Green, een, is an American gosAbou|89
1345706287432|1356998400000|false|1030792151570|0.0.0.5|2|good|4
1343801728082|1356998400000|false|1030792151571|0.0.0.249|3|thx|3
1341209458455|1356998400000|false|962072674836|0.0.0.124|1|About William Shakespeare, , a collected About Janis Joplin, r of the psychAbout|80
1343804801752|1356998400000|false|1030792151573|0.0.0.97|3|good|4
1341209276908|1356998400000|false|962072674838|0.0.0.215|1|duh|3
1342679495870|1356998400000|false|1030792151575|0.0.0.124|1|About Isabella I of Castile, ening of the NAbout Jerome Kern, is songs, manyAbout|82
1346073427561|1356998400000|false|1030792151577|0.0.0.92|1|fine|4
1343719907056|1356998400000|false|1030792151578|0.0.0.253|0|About Wolfgang Amadeus Mozart, ge of five and performed before European About Bre|81
1346083049444|1356998400000|false|1030792151579|0.0.0.92|1|About Wolfgang Amadeus Mozart,  in Salzburg, but grew restless and traAbout|76
1343726426232|1356998400000|false|1030792151580|0.0.0.127|2|no|2
1349236734239|1356998400000|false|1099511628317|0.0.0.159|2|great|5
1343730277798|1356998400000|false|1030792151582|0.0.0.215|1|About Wolfgang Amadeus Mozart, ces of his early death have been much mythologized. He was survived by his wife ConstAbout El Salvador,  industrialization. In addition, t|169
1346084870488|1356998400000|false|1030792151583|0.0.0.215|1|About Mary I of England, queen. Mary assembled a force in East Anglia, and succes|81
1343762116928|1356998400000|false|1030792151584|0.0.0.127|2|cool|4
1346119041610|1356998400000|false|1030792151585|0.0.0.92|1|roflol|6
1352963884336|1356998400000|false|1168231105058|0.0.0.176|3|cool|4
1346168387552|1356998400000|false|1030792151587|0.0.0.253|0|About Jacqueline Kennedy Onassis, r style, elegance, and grace. A fashion icon, her famous pink Chanel suit has become|119
1346083343482|1356998400000|false|1030792151588|0.0.0.253|0|About Wolfgang Amadeus Mozart, th the dark and passionate. His influencAbout R|78
1352983743974|1356998400000|false|1168231105061|0.0.0.61|3|no|2
1346083379702|1356998400000|false|1030792151590|0.0.0.5|2|LOL|3
1347193087402|1356998400000|false|1099511628327|0.0.0.107|2|ok|2
1348341484981|1356998400000|false|1099511628328|0.0.0.140|0|thanks|6
1351197556383|1356998400000|false|1099511629079|0.0.0.5|2|About Celia Cruz,  is indisputably the best known and most inflAbout How to Save a Life,|89
1351208761548|1356998400000|false|1099511629080|0.0.0.159|2|yes|3
1351200367642|1356998400000|false|1099511629081|0.0.0.159|2|About Celia Cruz,  renowned internationally as the QueenAbout County of Ty|74
1351184719616|1356998400000|false|1099511629082|0.0.0.253|0|About Pope Benedict XVI, n: Benedikt XVI. ; born Joseph Aloisius Ratzinger on 16 April 1927) is the 265th Pope, a position in|125
1351200377735|1356998400000|false|1099511629083|0.0.0.5|2|LOL|3
1351212179398|1356998400000|false|1099511629084|0.0.0.125|1|good|4
1337354434006|1356998400000|false|962072675614|0.0.0.253|0|yes|3
1337343604808|1356998400000|false|962072675615|0.0.0.125|1|maybe|5
1337286539395|1356998400000|false|962072675616|0.0.0.125|1|About Celia Cruz, ila Cobo of BillboardAbout Elvis Presley,  1968, after seven yeAb|83
