1356658888652|1577664000000|false|1168231106874|""|0.0.0.41|2|1|About Pope Benedict XVI, 1977. In 1981, he settled in Rome when he became Prefect of the Congregation for the Doctrine of the Faith, one of the most important dicasteries of the Roman C|185|274877907190
1349197810310|1577664000000|false|1099511630153|""|0.0.0.127|2|1|About Pope Benedict XVI,  denial of objective truth, and the denial of moral truths in particular, as|102|274877907190
1316297099778|1577664000000|false|687194769743|""|0.0.0.190|0|1|About Pope Benedict XVI,  of prayer in the face of the activism and the growing secularism of many Ch|101|274877907190
1356378654571|1577664000000|false|1168231106914|""|0.0.0.136|2|1|About Pope Benedict XVI,  is regarded as the successor of Saint Peter. Benedict XVI was elected on 19 April 2005 in a papa|122|274877907190
1354081115022|1577664000000|false|1168231106920|""|0.0.0.55|1|1|About Pope Benedict XVI,  on 16 April 1927) is the 265th Pope, a position in which he serve|91|274877907190
1352533778098|1577664000000|false|1168231106930|""|0.0.0.95|1|1|About Pope Benedict XVI,  XVI is theologically conservative and his teaching and prolific writings defend traditional Ca|120|274877907190
1345883897711|1577664000000|false|1030792153459|""|0.0.0.101|2|1|About Pope Benedict XVI, Mass on 24 April 2005, and took possession of his cathedral, t|87|274877907190
1354776810057|1577664000000|false|1168231106936|""|0.0.0.5|2|1|About Pope Benedict XVI, es among the cardinals. Prior to becoming Pope, he was a major figure|94|274877907190
1354665859311|1577664000000|false|1168231106949|""|0.0.0.117|1|1|About Pope Benedict XVI, pril 1927) is the 265th Pope, a position in which he serves dual roles as Sovereign of the Vat|119|274877907190
1349103833253|1577664000000|false|1099511630215|""|0.0.0.237|1|1|About Pope Benedict XVI, ion in which he serves dual roles as Sovereign of the Vatican City State and leader of|112|274877907190
1339774845341|1577664000000|false|962072676746|""|0.0.0.124|1|1|About Pope Benedict XVI,  roles as Sovereign of the Vatican City State and leader of the Catholic Church. As pope|114|274877907190
1354543591603|1577664000000|false|1168231106956|""|0.0.0.176|0|1|About Pope Benedict XVI, ace of the activism and the growing secularism of many Christians engaged in charitable work.|118|274877907190
1356481476484|1577664000000|false|1168231106971|""|0.0.0.124|2|1|About Pope Benedict XVI, oversial members of the College of Cardinals; he had an influence second to none when it|113|274877907190
1353670903116|1577664000000|false|1168231106974|""|0.0.0.189|3|1|About Pope Benedict XVI,  fundamental Christian values to counter the increased secul|85|274877907190
1353500437368|1577664000000|false|1168231106975|""|0.0.0.118|0|1|About Pope Benedict XVI, apacy, Benedict XVI has advocated a return to fundamental Christian values to counter the increased secularisation of|142|274877907190
1354847943964|1577664000000|false|1168231106981|""|0.0.0.249|1|1|About Pope Benedict XVI, il 1927) is the 265th Pope, a position in which he serves dual roles as Sov|100|274877907190
1334750748615|1577664000000|false|893353200058|""|0.0.0.168|1|1|About Pope Benedict XVI, lica of St. John Lateran, on 7 May 2005. A native of Bavaria,|86|274877907190
1355487706169|1577664000000|false|1168231107007|""|0.0.0.5|2|1|About Pope Benedict XVI, ls, and as such the primus inter pares among the cardinals. Prior to becoming|103|274877907190
